83,88,Hero MotoCorp Limited,INE158A01026,HEROMOTOCO,"5 4,752.46",HEROMOTOCO,"5 4,759.08",,,"54,755.77",Large Cap,HEROMOTOCO,84.0,Hero MotoCorp Limited,9440904.375243
84,89,INDUS TOWERS LIMITED,INE121J01017,INDUSTOWER,"5 3,965.03",INDUSTOWER,"5 3,962.45",,,"53,963.74",Large Cap,INDUSTOWER,109.0,Indus Towers Limited,7846308.929925
85,90,Page Industries Ltd.,INE761H01022,PAGEIND,"5 3,489.35",PAGEIND,"5 3,486.85",,,"53,488.10",Large Cap,PAGEIND,184.0,Page Industries Limited,3842615.554803
86,91,Torrent Pharmaceuticals Ltd.,INE685A01028,TORNTPHARM,"5 2,889.36",TORNTPHARM,"5 2,894.79",,,"52,892.08",Large Cap,TORNTPHARM,94.0,Torrent Pharmaceuticals Limited,8801612.11264
87,92,Info Edge(India) Ltd.,INE663F01024,NAUKRI,"5 2,226.98",NAUKRI,"5 2,219.10",,,"52,223.04",Large Cap,NAUKRI,116.0,Info Edge (India) Limited,7235159.9904
88,93,Samvardhana Motherson International Limited,INE775A01035,MOTHERSON,"5 1,865.27",MOTHERSON,"5 1,868.45",,,"51,866.86",Large Cap,MOTHERSON,108.0,Samvardhana Motherson International Limited,7935189.419586
89,94,Zomato Limited,INE758T01015,ZOMATO,"5 0,933.74",ZOMATO,"5 0,102.21",,,"50,517.97",Large Cap,ZOMATO,45.0,Zomato Limited,16060826.197824
90,95,Macrotech Developers Limited,INE670K01029,LODHA,"5 0,393.21",LODHA,"5 0,412.95",,,"50,403.08",Large Cap,LODHA,73.0,Macrotech Developers Limited,11295121.6713225
91,96,Tata Elxsi Ltd,INE670A01012,TATAELXSI,"4 9,435.86",TATAELXSI,"4 9,441.48",,,"49,438.67",Large Cap,TATAELXSI,159.0,Tata Elxsi Limited,4848314.26866
92,97,Bosch Ltd,INE323A01026,BOSCHLTD,"4 9,380.33",BOSCHLTD,"4 9,388.89",,,"49,384.61",Large Cap,BOSCHLTD,93.0,Bosch Limited,8857323.50932
93,98,JSW Energy Limited,INE121E01018,JSWENERGY,"4 9,110.45",JSWENERGY,"4 9,115.79",,,"49,113.12",Large Cap,JSWENERGY,97.0,JSW Energy Limited,8698689.608052
94,99,Trent Ltd [Lakme Ltd],INE849A01020,TRENT,"4 8,976.90",TRENT,"4 8,984.62",,,"48,980.76",Large Cap,TRENT,51.0,Trent Limited,14034644.96028
95,100,PI Industries Limited,INE603J01030,PIIND,"4 8,896.74",PIIND,"4 8,899.36",,,"48,898.05",Large Cap,PIIND,135.0,PI Industries Limited,5867774.072709001
96,101,Tube Investments of India Ltd,INE974X01010,TIINDIA,"4 8,678.54",TIINDIA,"4 8,695.25",,,"48,686.90",Mid Cap,TIINDIA,117.0,Tube Investments of India Limited,7226559.5889759995
97,102,TVS Motor Company Ltd.,INE494B01023,TVSMOTOR,"4 8,165.89",TVSMOTOR,"4 8,169.04",,,"48,167.47",Mid Cap,TVSMOTOR,78.0,TVS Motor Company Limited,10223162.062609
98,103,IDBI Bank Ltd,INE008A01015,IDBI,"4 7,652.93",IDBI,"4 7,658.52",,,"47,655.72",Mid Cap,IDBI,96.0,IDBI Bank Limited,8709445.76175
99,104,Canara Bank,INE476A01014,CANBK,"4 7,286.39",CANBK,"4 7,288.64",,,"47,287.52",Mid Cap,CANBK,75.0,Canara Bank,10541003.829246
100,105,Procter & Gamble Hygiene & Health Care Ltd.,INE179A01014,PGHH,"4 6,035.69",PGHH,"4 6,052.75",,,"46,044.22",Mid Cap,PGHH,142.0,Procter & Gamble Hygiene and Health Care Limited,5495099.463392
101,106,Jindal Steel & Power Ltd,INE749A01030,JINDALSTEL,"4 5,788.12",JINDALSTEL,"4 5,790.45",,,"45,789.28",Mid Cap,JINDALSTEL,98.0,Jindal Steel & Power Limited,8662078.0756755
102,107,Schaeffler India Limited,INE513A01022,SCHAEFFLER,"4 5,647.40",SCHAEFFLER,"4 5,666.80",,,"45,657.10",Mid Cap,SCHAEFFLER,173.0,Schaeffler India Limited,4394243.226545
103,108,Patanjali Foods Limited,INE619A01035,PATANJALI,"4 5,029.38",PATANJALI,"4 5,021.75",,,"45,025.56",Mid Cap,PATANJALI,160.0,Patanjali Foods Limited,4844939.112552
104,109,Punjab National Bank,INE160A01022,PNB,"4 4,855.79",PNB,"4 4,866.36",,,"44,861.08",Mid Cap,PNB,52.0,Punjab National Bank,13697703.354152
105,110,ACC Ltd,INE012A01025,ACC,"4 4,657.31",ACC,"4 4,664.19",,,"44,660.75",Mid Cap,ACC,163.0,ACC Limited,4679095.232171
